63 -5.64066569010417E+0002  1.66320800781250E+0002
64 -5.19307454427083E+0002  2.00907389322917E+0002
65 -5.23376464843750E+0002  2.40580240885417E+0002
66 -5.90515136718750E+0002  1.53096516927083E+0002
67 -5.88480631510417E+0002  1.17492675781250E+0002
68 -6.17980957031250E+0002  1.17492675781250E+0002
69 -6.18998209635417E+0002  1.54113769531250E+0002
70 -5.23376464843750E+0002  3.49426269531250E+0002
71 -5.61014811197917E+0002  3.47391764322917E+0002
72 -5.23376464843750E+0002  3.85030110677083E+0002
73 -5.59997558593750E+0002  3.80961100260417E+0002
74 -5.21341959635417E+0002  4.20633951822917E+0002
75 -5.58980305989583E+0002  4.17582194010417E+0002
76 -5.23376464843750E+0002  4.54203287760417E+0002
77 -5.59997558593750E+0002  4.50134277343750E+0002
78 -6.29170735677083E+0002  3.22977701822917E+0002
79 -5.87463378906250E+0002  3.64685058593750E+0002
80 -6.31205240885417E+0002  3.80961100260417E+0002
81 -5.87463378906250E+0002  4.10461425781250E+0002
82 -6.31205240885417E+0002  4.15547688802083E+0002
83 -5.89497884114583E+0002  4.52168782552083E+0002
84 -6.30187988281250E+0002  4.61324055989583E+0002
85 -5.87463378906250E+0002  4.90824381510417E+0002
86 -6.58671061197917E+0002  3.28063964843750E+0002
87 -6.90205891927083E+0002  3.29081217447917E+0002
88 -6.51550292968750E+0002  3.91133626302083E+0002
89 -6.77998860677083E+0002  3.92150878906250E+0002
90 -6.50533040364583E+0002  4.28771972656250E+0002
91 -6.76981608072917E+0002  4.26737467447917E+0002
92 -6.95292154947917E+0002  4.28771972656250E+0002
93 -6.95292154947917E+0002  3.95202636718750E+0002
94 -7.23775227864583E+0002  3.94185384114583E+0002
95 -7.24792480468750E+0002  4.26737467447917E+0002
96 -7.25809733072917E+0002  3.17891438802083E+0002
97 -7.65482584635417E+0002  3.23994954427083E+0002
98 -7.67517089843750E+0002  3.94185384114583E+0002
99 -7.66499837239583E+0002  4.31823730468750E+0002
100 -7.94982910156250E+0002  3.95202636718750E+0002
101 -7.94982910156250E+0002  4.30806477864583E+0002
102 -8.24483235677083E+0002  4.31823730468750E+0002
103 -8.25500488281250E+0002  3.94185384114583E+0002
104 -8.47880045572917E+0002  3.69771321614583E+0002
105 -8.48897298177083E+0002  3.36201985677083E+0002
106 -8.00069173177083E+0002  5.07100423177083E+0002
107 -8.00069173177083E+0002  4.67427571614583E+0002
108 -8.23465983072917E+0002  2.39562988281250E+0002
109 -8.48897298177083E+0002  2.38545735677083E+0002
110 -7.30895996093750E+0002  2.40580240885417E+0002
111 -7.22757975260417E+0002  1.92769368489583E+0002
112 -7.52258300781250E+0002  1.92769368489583E+0002
113 -7.27844238281250E+0002  1.57165527343750E+0002
114 -7.53275553385417E+0002  1.55131022135417E+0002
115 -7.98034667968750E+0002  1.52079264322917E+0002
116 -8.26517740885417E+0002  1.51062011718750E+0002
117 -7.99051920572917E+0002  1.88700358072917E+0002
118 -8.26517740885417E+0002  1.88700358072917E+0002
119 -8.02103678385417E+0002  9.91821289062500E+0001
120 -7.99051920572917E+0002  6.86645507812500E+0001
121 -8.29569498697917E+0002  6.66300455729166E+0001;
