108				
1.69	3.73	1.65	1.80	3.33
0.36	0.15	0.00	0.19	0.06
0.58	1.41	0.96	0.64	1.24
1.36	3.43	1.38	1.86	2.91
1.17	1.65	1.22	2.28	1.58
2.37	1.94	2.46	2.47	2.39
0.02	0.08	0.05	0.02	0.09
0.92	2.09	0.61	0.87	1.35
S	AUTUMN			
U	AUTUMN			
S	WINTER			
U	WINTER			
S	WINTER			
U	WINTER			
U	WINTER			
S	WINTER			
U	SPRING			
S	SPRING			
S	SPRING			
U	SPRING			
S	SPRING			
U	SPRING			
S	SUMMER			
U	SUMMER			
S	SUMMER			
U	SUMMER			
U	SUMMER			
S	SUMMER			
S	AUTUMN			
U	AUTUMN			
U	AUTUMN			
S	AUTUMN			
U	AUTUMN			
S	AUTUMN			
S	WINTER			
U	WINTER			
U	WINTER			
S	WINTER			
U	WINTER			
S	WINTER			
U	WINTER			
S	WINTER			
S	SPRING			
U	SPRING			
S	SPRING			
U	SPRING			
U	SPRING			
S	SPRING			
S	SUMMER			
U	SUMMER			
U	SPRING			
S	SPRING			
S	SPRING			
U	SPRING			
U	SPRING			
S	SPRING			
U	SUMMER			
S	SUMMER			
U	SUMMER			
S	SUMMER			
S	SUMMER			
U	SUMMER			
S	SUMMER			
U	SUMMER			
S	AUTUMN			
U	AUTUMN			
S	AUTUMN			
U	AUTUMN			
S	AUTUMN			
U	AUTUMN			
S	AUTUMN			
U	AUTUMN			
U	WINTER			
S	WINTER			
S	WINTER			
U	WINTER			
U	WINTER			
S	WINTER			
S	SPRING			
U	SPRING			
U	SPRING			
S	SPRING			
U	SPRING			
S	SPRING			
U	SUMMER			
S	SUMMER			
U	SUMMER			
S	SUMMER			
S	SUMMER			
U	SUMMER			
S	SUMMER			
U	SUMMER			
U	AUTUMN			
S	AUTUMN			
S	AUTUMN			
U	AUTUMN			
S	AUTUMN			
U	AUTUMN			
U	AUTUMN			
S	AUTUMN			
S	WINTER			
U	WINTER			
S	WINTER			
U	WINTER			
U	WINTER			
S	WINTER			
S	WINTER			
U	WINTER			
S	SPRING			
U	SPRING			
S	SPRING			
U	SPRING			
S	SPRING			
U	SPRING			
S	SPRING			
U	SPRING			
TE				
TW				
NC				
SC				
NWC				
