1 -4,74453333333334E+0001  1,61792000000000E+0001 0
77 -6,42447916666667E+0002  8,72395833333334E+0001 0
78 -6,72534701497840E+0002  9,08732706983288E+0001 0
79 -6,71877442516485E+0002  1,02703932362721E+0002 0
80 -6,71614583333333E+0002  1,12760416666666E+0002 0
81 -6,72135416666667E+0002  1,23697916666666E+0002 0
82 -7,13281250000000E+0002  8,04687500000000E+0001 0
83 -7,15364583333333E+0002  9,76562500000000E+0001 0
84 -7,13281250000000E+0002  1,16406250000000E+0002 0
85 -7,05729166666667E+0001  1,26822916666666E+0002 0
86 -9,45312500000000E+0001  1,25781250000000E+0002 0
87 -7,44222005208333E+0002  8,26009114583334E+0001 0
88 -7,40966796875000E+0002  9,96907552083334E+0001 0
89 -7,40889635558777E+0002  1,07304745232207E+0002 0
90 -7,67837253794338E+0002  1,07304745232207E+0002 0
91 -7,68534342447917E+0002  9,81648763020834E+0001 0
92 -7,86897764253638E+0002  8,29861629220668E+0001 0
93 -7,92813095085834E+0002  9,94176374559459E+0001 0
94 -7,92155836104479E+0002  1,06976115741530E+0002 0
95 -8,19432083830718E+0002  1,07304745232207E+0002 0
96 -8,19091796875000E+0002  9,96907552083334E+0001 0
97 -8,19091796875000E+0002  8,01595052083334E+0001 0
98 -8,69547526041667E+0002  8,17871093750000E+0001 0
99 -8,26416015625000E+0002  6,06282552083333E+0001 0
100 -8,24788411458334E+0002  4,67936197916667E+0001 0
101 -8,24788411458334E+0002  3,86555989583333E+0001 0
102 -8,50016276041667E+0002  3,86555989583333E+0001 0
103 -8,51643880208334E+0002  4,76074218750000E+0001 0
104 -9,11776970711119E+0002  1,59457468238403E+0001 0
105 -9,12434229692474E+0002  2,35042251094247E+0001 0
106 -9,39053218437358E+0002  1,56171173331627E+0001 0
107 -9,35438294039904E+0002  3,79639226992383E+0001 0
108 -9,10462452748408E+0002  3,86211816805934E+0001 0
109 -9,10462452748408E+0002  4,48651420034675E+0001 0
110 -9,34781035058549E+0002  4,58510304755002E+0001 0
111 -9,64029059728854E+0002  8,43006808847772E+0001 0
112 -9,63371800747499E+0002  9,21877886610391E+0001 0
113 -9,32151999133129E+0002  9,87603784745907E+0001 0
114 -9,31494740151773E+0002  1,06976115741530E+0002 0
115 -9,03727213541667E+0002  1,07828776041666E+0002 0
116 -9,04541015625000E+0002  1,19222005208333E+0002 0
117 -9,03889862934857E+0002  9,97462669466235E+0001 0
118 -8,67740618960323E+0002  9,94176374559459E+0001 0
119 -8,67919921875000E+0002  1,08642578125000E+0002 0
120 -9,04541015625000E+0002  1,28173828125000E+0002 0
121 -6,29745108694204E+0002  5,68404637883608E+0002 0
122 -6,55280508307665E+0002  5,68404637883608E+0002 0
123 -6,30189202600525E+0002  5,74843999525264E+0002 0
124 -6,55280508307665E+0002  5,85058159370648E+0002 0
125 -6,30411249553686E+0002  5,91497521012303E+0002 0
126 -6,54836414401344E+0002  5,91497521012303E+0002 0
127 -7,02132415424536E+0002  5,68626684836769E+0002 0
128 -7,27844238281250E+0002  5,68135579427083E+0002 0
129 -7,03020603237178E+0002  5,85280206323808E+0002 0
130 -7,27667815037997E+0002  5,84836112417487E+0002 0
131 -7,03020603237178E+0002  5,91275474059143E+0002 0
132 -7,27667815037997E+0002  5,90609333199661E+0002 0
133 -6,31299437366328E+0002  6,16588826719443E+0002 0
134 -6,31299437366328E+0002  6,10149465077787E+0002 0
135 -6,57278930886109E+0002  6,11037652890430E+0002 0
136 -6,57278930886109E+0002  6,16588826719443E+0002 0
137 -6,31965578225809E+0002  6,33686442112803E+0002 0
138 -6,58389165651912E+0002  6,33464395159643E+0002 0
139 -6,99911945892931E+0002  6,10815605937269E+0002 0
140 -7,27445768084836E+0002  6,10149465077787E+0002 0
141 -7,00133992846091E+0002  6,27025033517987E+0002 0
142 -7,26699829101563E+0002  6,27517700195313E+0002 0
143 -7,00578086752412E+0002  6,33686442112803E+0002 0
144 -7,26557580272194E+0002  6,34130536019124E+0002 0
145 -7,76290893554688E+0002  6,27517700195313E+0002 0
146 -7,98056699189884E+0002  6,27469127424309E+0002 0
147 -7,76074050826992E+0002  6,34796676878606E+0002 0
148 -7,74637858072917E+0002  6,08825683593750E+0002 0
149 -7,99179077148438E+0002  6,08444213867188E+0002 0
150 -7,74741769108029E+0002  6,16588826719443E+0002 0
151 -7,76962238639634E+0002  5,93273896637587E+0002 0
152 -7,76074050826992E+0002  5,86168394136451E+0002 0
153 -7,95614182705118E+0002  5,86168394136451E+0002 0
154 -7,97907511393229E+0002  5,93185424804688E+0002 0
155 -8,26034615288110E+0002  5,85946347183290E+0002 0
156 -8,26478709194431E+0002  5,93495943590748E+0002 0
157 -8,25146427475468E+0002  6,08595136405664E+0002 0
158 -7,14599276304570E+0002  1,04018450325432E+0002 0
159 -9,30180222189063E+0002  6,06393575559913E+0001 0
160 -9,65014948200887E+0002  6,16252460280241E+0001 0
161 -6,30411249553686E+0002  5,85280206323808E+0002 0
162 -6,55502555260825E+0002  5,75510140384745E+0002 0
163 -7,02798556284018E+0002  5,74621952572103E+0002 0
164 -7,27667815037997E+0002  5,75066046478424E+0002 0
165 -7,00578086752412E+0002  6,16810873672603E+0002 0
166 -7,26557580272194E+0002  6,17477014532085E+0002 0
167 -6,57723024792430E+0002  6,27247080471148E+0002 0
168 -6,31077390413167E+0002  6,27025033517987E+0002 1
